Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Quartile;H index;Total Docs. (2024);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
76;21100940430;"Food Science of Animal Resources";journal;"26360780, 26360772";"Korean Society for Food Science of Animal Resources";Yes;No;0,841;Q1;49;91;236;5240;1087;236;3,95;57,58;40,71;0;13;South Korea;Asiatic Region;"Korean Society for Food Science of Animal Resources";"2018-2024";"Animal Science and Zoology (Q1); Food Science (Q1)";"Agricultural and Biological Sciences"
77;21101174373;"Sustainable Food Technology";journal;"27538095";"Royal Society of Chemistry";Yes;Yes;0,839;Q1;14;117;87;11019;515;86;5,92;94,18;37,50;0;47;United Kingdom;Western Europe;"Royal Society of Chemistry";"2023-2025";"Analytical Chemistry (Q1); Food Science (Q1)";"Agricultural and Biological Sciences; Chemistry"
78;17500155016;"Journal of Functional Foods";journal;"17564646";"Elsevier Ltd";Yes;No;0,837;Q1;143;686;1453;39145;7086;1449;4,38;57,06;48,03;0;258;United Kingdom;Western Europe;"Elsevier Ltd";"2009-2025";"Food Science (Q1); Medicine (miscellaneous) (Q2); Nutrition and Dietetics (Q2)";"Agricultural and Biological Sciences; Medicine; Nursing"
79;19700173130;"Food and Nutrition Research";journal;"1654661X, 16546628";"Swedish Nutrition Foundation";Yes;No;0,833;Q1;61;68;198;4913;765;198;3,38;72,25;59,55;3;50;United Kingdom;Western Europe;"Swedish Nutrition Foundation";"2008-2025";"Food Science (Q1); Nutrition and Dietetics (Q2); Public Health, Environmental and Occupational Health (Q2)";"Agricultural and Biological Sciences; Medicine; Nursing"
80;20580;"Journal of Food Biochemistry";journal;"17454514, 01458884";"John Wiley and Sons Inc";No;No;0,820;Q1;70;117;1087;7190;5244;1077;4,76;61,45;45,80;0;42;United Kingdom;Western Europe;"John Wiley and Sons Inc";"1977-2024";"Biophysics (Q1); Food Science (Q1); Pharmacology (Q2); Cell Biology (Q3)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Pharmacology, Toxicology and Pharmaceutics"
81;144664;"British Food Journal";journal;"0007070X";"Emerald Publishing";No;No;0,817;Q1;111;273;839;19890;4632;833;5,56;72,86;47,36;0;120;United Kingdom;Western Europe;"Emerald Publishing";"1899-2025";"Business, Management and Accounting (miscellaneous) (Q1); Food Science (Q1)";"Agricultural and Biological Sciences; Business, Management and Accounting"
82;25096;"Food and Chemical Toxicology";journal;"18736351, 02786915";"Elsevier Ltd";No;No;0,801;Q1;215;761;1929;37189;8323;1908;4,15;48,87;48,78;0;131;United Kingdom;Western Europe;"Elsevier Ltd";"1982-2025";"Food Science (Q1); Medicine (miscellaneous) (Q2); Toxicology (Q2)";"Agricultural and Biological Sciences; Medicine; Pharmacology, Toxicology and Pharmaceutics"
83;20614;"Journal of Food Science";journal;"00221147, 17503841";"Wiley-Blackwell";No;No;0,798;Q1;189;711;1269;37356;5546;1213;3,79;52,54;45,96;0;131;United States;Northern America;"Wiley-Blackwell";"1936-2025";"Food Science (Q1)";"Agricultural and Biological Sciences"
84;33928;"Journal of the Science of Food and Agriculture";journal;"10970010, 00225142";"John Wiley and Sons Ltd";No;No;0,798;Q1;187;960;2180;48368;10431;2174;4,39;50,38;46,41;2;252;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"1950-2025";"Agronomy and Crop Science (Q1); Food Science (Q1); Biotechnology (Q2); Nutrition and Dietetics (Q2)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Nursing"
85;21101046767;"Environmental Research Communications";journal;"25157620";"IOP Publishing Ltd.";Yes;No;0,797;Q1;30;412;515;24119;1636;496;3,17;58,54;36,86;2;318;United Kingdom;Western Europe;"IOP Publishing Ltd.";"2019-2025";"Agricultural and Biological Sciences (miscellaneous) (Q1); Earth-Surface Processes (Q1); Food Science (Q1); Geology (Q1); Atmospheric Science (Q2); Environmental Science (miscellaneous) (Q2)";"Agricultural and Biological Sciences; Earth and Planetary Sciences; Environmental Science"
86;21100901842;"Food Quality and Safety";journal;"23991402, 23991399";"Oxford University Press";Yes;No;0,793;Q1;34;75;167;4300;766;164;4,69;57,33;45,02;0;9;United Kingdom;Western Europe;"Oxford University Press";"2017-2025";"Food Science (Q1)";"Agricultural and Biological Sciences"
87;21100941001;"Frontiers in Sustainable Food Systems";journal;"2571581X";"Frontiers Media SA";Yes;No;0,791;Q1;70;921;2196;59557;9351;2074;3,19;64,67;39,70;4;725;Switzerland;Western Europe;"Frontiers Media SA";"2017-2025";"Agronomy and Crop Science (Q1); Ecology (Q1); Food Science (Q1); Horticulture (Q1); Global and Planetary Change (Q2); Management, Monitoring, Policy and Law (Q2)";"Agricultural and Biological Sciences; Environmental Science"
88;21100864540;"Bioscience of Microbiota, Food and Health";journal;"21866953, 21863342";"BMFH Press";No;No;0,779;Q1;30;45;79;1996;265;78;2,89;44,36;34,19;0;8;Japan;Asiatic Region;"BMFH Press";"2014-2025";"Food Science (Q1); Applied Microbiology and Biotechnology (Q2); Gastroenterology (Q2); Microbiology (Q2); Immunology (Q3)";"Agricultural and Biological Sciences; Immunology and Microbiology; Medicine"
89;21101161672;"Measurement: Food";journal;"27722759";"Elsevier Ltd";Yes;No;0,777;Q1;17;79;90;4681;474;89;4,98;59,25;42,39;0;18;United Kingdom;Western Europe;"Elsevier Ltd";"2021-2025";"Food Science (Q1); Nutrition and Dietetics (Q2)";"Agricultural and Biological Sciences; Nursing"
90;21100216575;"GM Crops and Food";journal;"21645701, 21645698";"Landes Bioscience";Yes;No;0,774;Q1;45;28;98;1871;475;96;5,17;66,82;34,53;1;15;United States;Northern America;"Landes Bioscience";"2012-2025";"Agronomy and Crop Science (Q1); Food Science (Q1); Biotechnology (Q2)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology"
91;21101172000;"Meat and Muscle Biology";journal;"2575985X";"Iowa State University Digital Press";Yes;No;0,764;Q1;17;64;122;3100;317;122;3,16;48,44;42,03;0;13;United States;Northern America;"Iowa State University Digital Press";"2019-2025";"Animal Science and Zoology (Q1); Food Science (Q1)";"Agricultural and Biological Sciences"
92;21100901139;"Journal of Animal Science and Technology";journal;"26720191, 20550391";"Korean Society of Animal Sciences and Technology";Yes;No;0,756;Q1;28;93;323;4572;1028;323;3,02;49,16;32,50;0;11;South Korea;Asiatic Region;"Korean Society of Animal Sciences and Technology";"2015-2024";"Animal Science and Zoology (Q1); Ecology (Q1); Food Science (Q1); Veterinary (miscellaneous) (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q2)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Environmental Science; Veterinary"
93;35941;"Journal of Animal Science";journal;"15253163, 00218812";"Oxford University Press";No;No;0,755;Q1;191;380;1235;19714;3247;1219;2,58;51,88;41,85;1;54;United States;Northern America;"Oxford University Press";"1946-1951, 1961, 1965-2025";"Animal Science and Zoology (Q1); Food Science (Q1); Genetics (Q2); Medicine (miscellaneous) (Q2)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Medicine"
94;19400158516;"Food and Environmental Virology";journal;"18670334, 18670342";"Springer";No;No;0,748;Q1;49;45;119;2415;468;118;3,36;53,67;57,41;1;37;United States;Northern America;"Springer";"2009-2025";"Food Science (Q1); Epidemiology (Q2); Health, Toxicology and Mutagenesis (Q2); Virology (Q2)";"Agricultural and Biological Sciences; Environmental Science; Immunology and Microbiology; Medicine"
95;23068;"European Food Research and Technology";journal;"14382385, 14382377";"Springer Science and Business Media Deutschland GmbH";No;No;0,744;Q1;131;224;750;11249;3246;749;3,92;50,22;52,09;2;35;Germany;Western Europe;"Springer Science and Business Media Deutschland GmbH";"1996-2025";"Food Science (Q1); Industrial and Manufacturing Engineering (Q1); Biochemistry (Q2); Biotechnology (Q2); Chemistry (miscellaneous) (Q2)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Chemistry; Engineering"
96;27993;"Plant Foods for Human Nutrition";journal;"15739104, 09219668";"Springer";No;No;0,741;Q1;102;118;255;3953;1069;252;3,99;33,50;50,17;0;46;United States;Northern America;"Springer";"1987-2025";"Food Science (Q1); Chemistry (miscellaneous) (Q2)";"Agricultural and Biological Sciences; Chemistry"
97;12676;"International Journal of Food Sciences and Nutrition";journal;"09637486, 14653478";"Informa Healthcare";No;No;0,738;Q1;96;84;270;4216;879;260;3,30;50,19;53,22;0;36;United Kingdom;Western Europe;"Informa Healthcare";"1947-1981, 1992-2025";"Food Science (Q1)";"Agricultural and Biological Sciences"
98;21100901909;"Current Developments in Nutrition";journal;"24752991";"Elsevier B.V.";Yes;No;0,737;Q1;41;192;370;10530;939;359;2,23;54,84;61,25;5;117;United Kingdom;Western Europe;"Elsevier B.V.";"2017-2025";"Food Science (Q1); Medicine (miscellaneous) (Q2); Nutrition and Dietetics (Q2)";"Agricultural and Biological Sciences; Medicine; Nursing"
99;19450;"Journal of Health, Population and Nutrition";journal;"16060997, 20721315";"BioMed Central Ltd";Yes;No;0,737;Q1;79;226;249;10519;765;245;2,87;46,54;46,69;0;160;United Kingdom;Western Europe;"BioMed Central Ltd";"2000-2025";"Food Science (Q1); Health, Toxicology and Mutagenesis (Q2); Public Health, Environmental and Occupational Health (Q2)";"Agricultural and Biological Sciences; Environmental Science; Medicine"
100;29501;"International Journal of Food Properties";journal;"15322386, 10942912";"Taylor and Francis Ltd.";Yes;No;0,736;Q1;87;92;539;5059;2527;539;4,63;54,99;43,89;0;13;United States;Northern America;"Taylor and Francis Ltd.";"1998-2025";"Food Science (Q1)";"Agricultural and Biological Sciences"
101;21100228081;"Journal of Nutrition and Metabolism";journal;"20900732, 20900724";"John Wiley and Sons Ltd";Yes;No;0,735;Q1;61;34;144;1919;442;144;2,66;56,44;56,91;0;15;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"2010-2024";"Food Science (Q1); Nutrition and Dietetics (Q2); Endocrinology, Diabetes and Metabolism (Q3)";"Agricultural and Biological Sciences; Medicine; Nursing"
102;21101120350;"Q Open";journal;"26339048";"Oxford University Press";Yes;No;0,733;Q1;9;26;95;1538;203;92;1,88;59,15;35,35;0;18;United Kingdom;Western Europe;"Oxford University Press";"2021-2025";"Agricultural and Biological Sciences (miscellaneous) (Q1); Development (Q1); Economics, Econometrics and Finance (miscellaneous) (Q1); Food Science (Q1); Economics and Econometrics (Q2)";"Agricultural and Biological Sciences; Economics, Econometrics and Finance; Social Sciences"
103;21101162743;"Advances in Sample Preparation";journal;"27725820";"Elsevier B.V.";Yes;No;0,729;Q2;14;36;92;1857;516;87;5,61;51,58;49,68;0;6;Netherlands;Western Europe;"Elsevier B.V.";"2022-2025";"Analytical Chemistry (Q2); Chemistry (miscellaneous) (Q2); Environmental Chemistry (Q2); Food Science (Q2); Organic Chemistry (Q2)";"Agricultural and Biological Sciences; Chemistry; Environmental Science"
104;15627;"Food and Bioproducts Processing";journal;"09603085, 17443571";"Institution of Chemical Engineers";No;No;0,729;Q2;106;188;368;10529;1770;366;4,24;56,01;41,34;0;38;United Kingdom;Western Europe;"Institution of Chemical Engineers";"1991-2025";"Chemical Engineering (miscellaneous) (Q1); Biochemistry (Q2); Biotechnology (Q2); Food Science (Q2)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Chemical Engineering"
105;20115;"International Journal of Food Science and Technology";journal;"09505423, 13652621";"Oxford University Press";Yes;No;0,723;Q2;127;851;2049;41112;8058;2013;3,66;48,31;48,75;1;161;United Kingdom;Western Europe;"Oxford University Press";"1966-2025";"Industrial and Manufacturing Engineering (Q1); Food Science (Q2)";"Agricultural and Biological Sciences; Engineering"
106;13559;"Journal of Loss Prevention in the Process Industries";journal;"09504230";"Elsevier B.V.";No;No;0,723;Q2;110;234;710;10950;3271;702;4,64;46,79;30,18;0;61;Netherlands;Western Europe;"Elsevier B.V.";"1988-2025";"Industrial and Manufacturing Engineering (Q1); Chemical Engineering (miscellaneous) (Q2); Control and Systems Engineering (Q2); Energy Engineering and Power Technology (Q2); Food Science (Q2); Management Science and Operations Research (Q2); Safety, Risk, Reliability and Quality (Q2)";"Agricultural and Biological Sciences; Chemical Engineering; Decision Sciences; Energy; Engineering"
107;20617;"Journal of Food Science and Technology";journal;"00221155, 09758402";"Springer";No;No;0,716;Q2;120;320;1249;12255;5465;1249;3,80;38,30;47,04;1;54;India;Asiatic Region;"Springer";"1974-1975, 1977-1978, 1980, 1982-1988, 1994-2025";"Food Science (Q2)";"Agricultural and Biological Sciences"
108;12100154903;"Food Science and Biotechnology";journal;"20926456, 12267708";"The Korean Society of Food Science and Technology";No;No;0,713;Q2;69;348;507;18305;2104;505;3,82;52,60;45,50;0;75;South Korea;Asiatic Region;"The Korean Society of Food Science and Technology";"2007-2025";"Applied Microbiology and Biotechnology (Q2); Biotechnology (Q2); Food Science (Q2)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology"
109;21101174378;"Beverage Plant Research";journal;"27692108";"Maximum Academic Press";Yes;No;0,705;Q2;11;40;69;2179;253;68;3,57;54,48;43,64;0;8;United States;Northern America;"Maximum Academic Press";"2021-2025";"Horticulture (Q1); Plant Science (Q1); Food Science (Q2)";"Agricultural and Biological Sciences"
110;21100781511;"Agriculture (Switzerland)";journal;"20770472";"Multidisciplinary Digital Publishing Institute (MDPI)";Yes;No;0,704;Q2;84;2364;5727;134439;25200;5663;4,25;56,87;39,27;0;1130;Switzerland;Western Europe;"Multidisciplinary Digital Publishing Institute (MDPI)";"2011-2025";"Agronomy and Crop Science (Q1); Plant Science (Q1); Food Science (Q2)";"Agricultural and Biological Sciences"
111;21100853532;"Nutrition and Metabolic Insights";journal;"11786388";"Libertas Academica Ltd.";Yes;No;0,704;Q2;24;20;72;1027;222;72;2,30;51,35;39,56;0;9;New Zealand;Pacific Region;"Libertas Academica Ltd.";"2008-2025";"Food Science (Q2); Nutrition and Dietetics (Q2); Endocrinology, Diabetes and Metabolism (Q3)";"Agricultural and Biological Sciences; Medicine; Nursing"
112;4700152504;"Food Biophysics";journal;"15571858, 15571866";"Springer";No;No;0,703;Q2;67;90;155;4894;606;155;3,75;54,38;40,27;0;9;United States;Northern America;"Springer";"2006-2025";"Analytical Chemistry (Q2); Applied Microbiology and Biotechnology (Q2); Bioengineering (Q2); Biophysics (Q2); Food Science (Q2)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Chemical Engineering; Chemistry; Immunology and Microbiology"
113;21101151829;"CABI Agriculture and Bioscience";journal;"26624044";"CABI International";Yes;No;0,699;Q2;19;111;174;7214;672;167;2,92;64,99;34,07;2;80;United Kingdom;Western Europe;"CABI International";"2020-2024";"Agricultural and Biological Sciences (miscellaneous) (Q1); Animal Science and Zoology (Q1); Horticulture (Q1); Food Science (Q2)";"Agricultural and Biological Sciences"
114;21100830759;"Journal of Insects as Food and Feed";journal;"23524588";"Brill Wageningen Academic";No;No;0,696;Q2;50;154;411;9608;1737;402;3,11;62,39;43,03;0;66;Netherlands;Western Europe;"Brill Wageningen Academic";"2015-2025";"Insect Science (Q1); Food Science (Q2)";"Agricultural and Biological Sciences"
115;21101044876;"Animal Bioscience";journal;"27650235, 27650189";"Asian-Australasian Association of Animal Production Societies";Yes;No;0,694;Q2;89;201;593;8002;1764;589;2,70;39,81;35,75;0;32;South Korea;Asiatic Region;"Asian-Australasian Association of Animal Production Societies";"2021-2025";"Animal Science and Zoology (Q1); Veterinary (miscellaneous) (Q1); Food Science (Q2); Physiology (Q2); Genetics (Q3)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Veterinary"
116;21100224010;"Journal of Food Measurement and Characterization";journal;"21934134, 21934126";"Springer Science + Business Media";No;No;0,693;Q2;55;779;1493;41959;6516;1493;3,92;53,86;45,20;1;117;United States;Northern America;"Springer Science + Business Media";"2012-2025";"Chemical Engineering (miscellaneous) (Q2); Food Science (Q2); Industrial and Manufacturing Engineering (Q2); Safety, Risk, Reliability and Quality (Q2)";"Agricultural and Biological Sciences; Chemical Engineering; Engineering"
117;20634;"Journal of Texture Studies";journal;"00224901, 17454603";"Wiley-Blackwell";No;No;0,689;Q2;71;70;221;3681;821;214;3,51;52,59;47,44;0;2;United States;Northern America;"Wiley-Blackwell";"1969-2025";"Food Science (Q2); Pharmaceutical Science (Q2)";"Agricultural and Biological Sciences; Pharmacology, Toxicology and Pharmaceutics"
118;21100466403;"International Journal of Food Science";journal;"23567015, 23145765";"John Wiley and Sons Ltd";Yes;No;0,685;Q2;44;63;286;3452;1249;286;3,73;54,79;44,35;0;14;Egypt;Africa/Middle East;"John Wiley and Sons Ltd";"2013-2024";"Food Science (Q2)";"Agricultural and Biological Sciences"
119;21100789945;"International Journal of Gastronomy and Food Science";journal;"18784518, 1878450X";"Elsevier B.V.";No;No;0,685;Q2;41;230;520;12847;2311;516;4,14;55,86;51,49;0;50;Netherlands;Western Europe;"Elsevier B.V.";"2012, 2014-2025";"Cultural Studies (Q1); Food Science (Q2)";"Agricultural and Biological Sciences; Social Sciences"
120;21100416086;"NFS Journal";journal;"23523646";"Elsevier GmbH";Yes;No;0,676;Q2;32;26;77;1488;328;76;3,67;57,23;54,81;0;8;Germany;Western Europe;"Elsevier GmbH";"2015-2025";"Food Science (Q2); Nutrition and Dietetics (Q2)";"Agricultural and Biological Sciences; Nursing"
121;21100197945;"Biocatalysis and Agricultural Biotechnology";journal;"18788181";"Elsevier B.V.";No;No;0,675;Q2;83;477;1086;37568;5136;1084;4,57;78,76;41,19;0;256;Netherlands;Western Europe;"Elsevier B.V.";"2012-2025";"Agronomy and Crop Science (Q1); Applied Microbiology and Biotechnology (Q2); Bioengineering (Q2); Biotechnology (Q2); Food Science (Q2)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Chemical Engineering; Immunology and Microbiology"
122;14200154729;"Journal of Dietary Supplements";journal;"19390211, 1939022X";"Informa Healthcare";No;No;0,669;Q2;43;54;143;2631;433;141;2,38;48,72;43,18;0;10;United States;Northern America;"Informa Healthcare";"2008-2025";"Food Science (Q2); Nutrition and Dietetics (Q2); Pharmacology (medical) (Q2)";"Agricultural and Biological Sciences; Medicine; Nursing"
123;21100415502;"Journal of Nutritional Science";journal;"20486790";"Cambridge University Press";Yes;No;0,668;Q2;43;84;338;3994;780;324;1,91;47,55;60,05;1;44;United Kingdom;Western Europe;"Cambridge University Press";"2012-2025";"Food Science (Q2); Nutrition and Dietetics (Q2); Endocrinology, Diabetes and Metabolism (Q3)";"Agricultural and Biological Sciences; Medicine; Nursing"
124;21100252806;"Bioactive Carbohydrates and Dietary Fibre";journal;"22126198";"Elsevier Ltd";No;No;0,661;Q2;44;64;123;3805;539;122;4,02;59,45;51,80;0;19;United Kingdom;Western Europe;"Elsevier Ltd";"2013-2025";"Food Science (Q2); Organic Chemistry (Q2); Biochemistry (Q3)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Chemistry"
125;20610;"Journal of Food Protection";journal;"19449097, 0362028X";"Elsevier B.V.";Yes;No;0,650;Q2;157;201;613;10124;1945;612;3,01;50,37;47,48;1;60;Netherlands;Western Europe;"Elsevier B.V.";"1977-1980, 1982-2025";"Food Science (Q2); Microbiology (Q3)";"Agricultural and Biological Sciences; Immunology and Microbiology"
126;18700156722;"Agribusiness";journal;"07424477, 15206297";"Wiley-VCH Verlag";No;No;0,648;Q2;56;143;178;8409;606;172;2,94;58,80;34,67;3;90;United States;Northern America;"Wiley-VCH Verlag";"1985-2025";"Agronomy and Crop Science (Q1); Animal Science and Zoology (Q1); Economics and Econometrics (Q2); Food Science (Q2); Geography, Planning and Development (Q2)";"Agricultural and Biological Sciences; Economics, Econometrics and Finance; Social Sciences"
127;98012;"International Journal of Dairy Technology";journal;"14710307, 1364727X";"Wiley-Blackwell";No;No;0,646;Q2;70;114;255;4974;829;237;3,05;43,63;45,93;0;6;United States;Northern America;"Wiley-Blackwell";"1947-1995, 1997-1998, 2000-2025";"Food Science (Q2); Process Chemistry and Technology (Q2); Bioengineering (Q3)";"Agricultural and Biological Sciences; Chemical Engineering"
128;20607;"Journal of Food Products Marketing";journal;"15404102, 10454446";"Routledge";No;No;0,644;Q2;43;15;62;1120;294;62;2,95;74,67;54,17;0;6;United States;Northern America;"Routledge";"1992-2024";"Business and International Management (Q2); Food Science (Q2); Marketing (Q2)";"Agricultural and Biological Sciences; Business, Management and Accounting"
129;21100870920;"Linguistic Variation";journal;"22116842, 22116834";"John Benjamins Publishing Company";No;No;0,640;Q2;8;15;25;967;25;25;1,57;64,47;42,86;0;0;Netherlands;Western Europe;"John Benjamins Publishing Company";"2017-2025";"Linguistics and Language (Q1); Food Science (Q2)";"Agricultural and Biological Sciences; Social Sciences"
130;21100900055;"Fermentation";journal;"23115637";"Multidisciplinary Digital Publishing Institute (MDPI)";Yes;No;0,629;Q2;64;662;2096;42281;8571;2071;3,88;63,87;46,18;2;214;Switzerland;Western Europe;"Multidisciplinary Digital Publishing Institute (MDPI)";"2015-2025";"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q2); Food Science (Q2); Plant Science (Q2)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology"
131;20578;"Journal of Food and Drug Analysis";journal;"10219498, 22246614";"National Laboratories of Foods and Drugs";Yes;No;0,629;Q2;87;42;147;2516;516;146;3,06;59,90;42,02;0;15;Taiwan;Asiatic Region;"National Laboratories of Foods and Drugs";"1994-2024";"Food Science (Q2); Pharmacology (Q2)";"Agricultural and Biological Sciences; Pharmacology, Toxicology and Pharmaceutics"
132;20611;"Journal of Food Quality";journal;"17454557, 01469428";"John Wiley and Sons Inc";Yes;No;0,625;Q2;67;72;605;4259;2695;603;3,98;59,15;44,38;0;16;United Kingdom;Western Europe;"John Wiley and Sons Inc";"1977, 1979-2024";"Food Science (Q2); Safety, Risk, Reliability and Quality (Q2)";"Agricultural and Biological Sciences; Engineering"
133;21101101858;"Systems Microbiology and Biomanufacturing";journal;"26627663, 26627655";"Springer Nature";No;No;0,625;Q2;19;111;163;6997;672;161;3,14;63,04;43,85;0;43;China;Asiatic Region;"Springer Nature";"2021-2025";"Applied Microbiology and Biotechnology (Q2); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q2); Food Science (Q2); Microbiology (Q3)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology"
134;21101038538;"Human Nutrition and Metabolism";journal;"26661497";"Elsevier B.V.";Yes;No;0,622;Q2;23;58;109;3872;227;107;2,08;66,76;54,76;0;42;Netherlands;Western Europe;"Elsevier B.V.";"2020-2025";"Food Science (Q2); Endocrinology, Diabetes and Metabolism (Q3); Nutrition and Dietetics (Q3)";"Agricultural and Biological Sciences; Medicine; Nursing"
135;20589;"Journal of Food Process Engineering";journal;"01458876, 17454530";"Wiley-Blackwell";No;No;0,621;Q2;66;298;881;14809;3401;873;3,55;49,69;40,27;0;97;United States;Northern America;"Wiley-Blackwell";"1977-2025";"Chemical Engineering (miscellaneous) (Q2); Food Science (Q2)";"Agricultural and Biological Sciences; Chemical Engineering"
136;21100823384;"Annals of Agricultural Sciences";journal;"05701783, 20908377";"Faculty of Agriculture, Ain-Shams University";Yes;No;0,620;Q2;55;8;72;425;313;71;4,31;53,13;31,37;0;2;Egypt;Africa/Middle East;"Faculty of Agriculture, Ain-Shams University";"2011-2024";"Agronomy and Crop Science (Q1); Animal Science and Zoology (Q1); Horticulture (Q1); Food Science (Q2); Plant Science (Q2); Soil Science (Q2)";"Agricultural and Biological Sciences"
137;19400157146;"Food Additives and Contaminants: Part B Surveillance";journal;"19393210, 19393229";"Taylor and Francis Ltd.";No;No;0,617;Q2;46;49;106;2300;353;106;2,75;46,94;47,81;0;16;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2008-2025";"Food Science (Q2); Public Health, Environmental and Occupational Health (Q2); Toxicology (Q3)";"Agricultural and Biological Sciences; Medicine; Pharmacology, Toxicology and Pharmaceutics"
138;21101165608;"Food Safety and Risk";journal;"27319245";"BioMed Central Ltd";Yes;No;0,608;Q2;3;2;5;97;23;5;4,60;48,50;28,57;0;0;United Kingdom;Western Europe;"BioMed Central Ltd";"2023-2024";"Food Science (Q2); Health, Toxicology and Mutagenesis (Q2); Public Health, Environmental and Occupational Health (Q2)";"Agricultural and Biological Sciences; Environmental Science; Medicine"
139;21101077298;"ACS Food Science and Technology";journal;"26921944";"American Chemical Society";No;No;0,593;Q2;24;298;646;16501;2160;638;3,03;55,37;46,16;0;49;United States;Northern America;"American Chemical Society";"2021-2025";"Analytical Chemistry (Q2); Chemistry (miscellaneous) (Q2); Food Science (Q2); Organic Chemistry (Q2)";"Agricultural and Biological Sciences; Chemistry"
140;21880;"Cereal Chemistry";journal;"19433638, 00090352";"John Wiley &amp; Sons Inc.";No;No;0,587;Q2;120;116;345;5097;1058;338;3,16;43,94;45,99;0;14;United States;Northern America;"John Wiley &amp; Sons Inc.";"1974, 1978-1979, 1981, 1983-1984, 1986, 1989, 1993-2025";"Food Science (Q2); Organic Chemistry (Q2)";"Agricultural and Biological Sciences; Chemistry"
141;15632;"Food Technology and Biotechnology";journal;"13342606, 13309862";"University of Zagreb";Yes;Yes;0,585;Q2;84;48;144;2443;479;140;2,66;50,90;56,40;0;16;Croatia;Eastern Europe;"University of Zagreb";"1996-2024";"Biotechnology (Q2); Chemical Engineering (miscellaneous) (Q2); Food Science (Q2); Industrial and Manufacturing Engineering (Q2)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Chemical Engineering; Engineering"
142;21100781878;"Bio-based and Applied Economics";journal;"22806180, 22806172";"Firenze University Press";Yes;Yes;0,580;Q2;24;22;65;1349;144;60;1,70;61,32;38,24;0;17;Italy;Western Europe;"Firenze University Press";"2012-2024";"Agronomy and Crop Science (Q1); Animal Science and Zoology (Q1); Economics, Econometrics and Finance (miscellaneous) (Q1); Environmental Science (miscellaneous) (Q2); Food Science (Q2)";"Agricultural and Biological Sciences; Economics, Econometrics and Finance; Environmental Science"
143;12575;"Food and Nutrition Bulletin";journal;"03795721, 15648265";"SAGE Publications Inc.";No;No;0,578;Q2;90;38;131;1636;247;124;1,53;43,05;57,60;0;22;United States;Northern America;"SAGE Publications Inc.";"1982-2025";"Food Science (Q2); Geography, Planning and Development (Q2); Nutrition and Dietetics (Q3)";"Agricultural and Biological Sciences; Nursing; Social Sciences"
144;20590;"Journal of Food Processing and Preservation";journal;"01458892, 17454549";"John Wiley and Sons Inc";No;No;0,573;Q2;71;97;2411;4764;7776;2408;2,97;49,11;36,99;0;20;United Kingdom;Western Europe;"John Wiley and Sons Inc";"1977-2025";"Chemical Engineering (miscellaneous) (Q2); Chemistry (miscellaneous) (Q2); Food Science (Q2)";"Agricultural and Biological Sciences; Chemical Engineering; Chemistry"
145;21101240289;"Food Safety and Health";journal;"28351096";"John Wiley and Sons Inc";No;No;0,570;Q2;5;43;16;3508;45;10;2,81;81,58;47,76;0;17;China;Asiatic Region;"John Wiley and Sons Inc";"2023-2025";"Food Science (Q2)";"Agricultural and Biological Sciences"
146;21101092735;"AgriEngineering";journal;"26247402";"Multidisciplinary Digital Publishing Institute (MDPI)";Yes;No;0,559;Q2;25;281;286;14264;1409;285;4,37;50,76;24,75;0;149;Switzerland;Western Europe;"Multidisciplinary Digital Publishing Institute (MDPI)";"2019-2025";"Horticulture (Q1); Agronomy and Crop Science (Q2); Engineering (miscellaneous) (Q2); Food Science (Q2)";"Agricultural and Biological Sciences; Engineering"
